date,description,amount,category,merchant
2024-04-22,Auto rickshaw Marathahalli,142.66,transport,Auto
2024-04-23,Auto rickshaw Marathahalli,155.96,transport,Auto
2024-04-24,Jio mobile recharge,1075.9,bills,Jio
2024-04-25,Airtel broadband,2329.98,bills,Airtel
2024-04-26,Nandhana Palace dinner,168.25,food,Nandhana
2024-04-27,PVR Gold movie ticket,323.08,entertainment,PVR
2024-04-28,Hotstar IPL match,896.18,entertainment,Hotstar
2024-04-29,Hotstar IPL match,651.39,entertainment,Hotstar
2024-04-30,Auto rickshaw Marathahalli,322.74,transport,Auto
2024-05-01,Reliance Trends shirt,377.53,shopping,Reliance
2024-05-02,Domino's pasta,379.65,food,Domino's
2024-05-03,Domino's pasta,663.58,food,Domino's
2024-05-04,Amazon laptop accessories,828.32,shopping,Amazon
2024-05-05,Google Play Pro apps,1282.36,technology,Google
2024-05-06,Domino's pasta,280.79,food,Domino's
2024-05-07,Airtel broadband,2130.01,bills,Airtel
2024-05-08,Airtel broadband,1400.34,bills,Airtel
2024-05-09,Udemy data science course,782.21,technology,Udemy
2024-05-10,Myntra shoes delivery,1035.15,shopping,Myntra
2024-05-11,Metro Namma Bengaluru,92.48,transport,Metro
2024-05-12,Amazon laptop accessories,1033.73,shopping,Amazon
2024-05-13,Uber to office Koramangala,206.43,transport,Uber
2024-05-14,Auto rickshaw Marathahalli,179.36,transport,Auto
2024-05-15,Metro Namma Bengaluru,231.45,transport,Metro
2024-05-16,Uber to office Koramangala,245.64,transport,Uber
2024-05-17,Uber to office Koramangala,240.1,transport,Uber
2024-05-18,Jio mobile recharge,2507.88,bills,Jio
2024-05-19,BMTC bus pass monthly,288.21,transport,BMTC
2024-05-20,BigBasket groceries,502.58,food,BigBasket
2024-05-21,Airtel broadband,1707.81,bills,Airtel
2024-05-22,Flipkart tshirt sale,826.63,shopping,Flipkart
2024-05-23,Jio mobile recharge,1233.4,bills,Jio
2024-05-24,Shell petrol Whitefield,277.17,transport,Shell
2024-05-25,Flipkart tshirt sale,1001.23,shopping,Flipkart
2024-05-26,Auto rickshaw Marathahalli,247.73,transport,Auto
2024-05-27,Nandhana Palace dinner,355.67,food,Nandhana
2024-05-28,Airtel broadband,780.21,bills,Airtel
2024-05-29,BWSSB water charges,1190.7,bills,BWSSB
2024-05-30,BigBasket groceries,369.68,food,BigBasket
2024-05-31,Tea stall chai,163.03,food,Tea
2024-06-01,BESCOM electricity bill,3134.7,bills,BESCOM
2024-06-02,Domino's pasta,321.67,food,Domino's
2024-06-03,Flipkart tshirt sale,892.34,shopping,Flipkart
2024-06-04,BMTC bus pass monthly,346.43,transport,BMTC
2024-06-05,Shell petrol Whitefield,178.17,transport,Shell
2024-06-06,Spotify Premium,784.7,entertainment,Spotify
2024-06-07,PVR Gold movie ticket,381.08,entertainment,PVR
2024-06-08,PVR Gold movie ticket,766.0,entertainment,PVR
2024-06-09,BigBasket monthly grocery,851.36,shopping,BigBasket
2024-06-10,PVR Gold movie ticket,671.33,entertainment,PVR
2024-06-11,Uber to office Koramangala,389.19,transport,Uber
2024-06-12,BigBasket monthly grocery,1186.43,shopping,BigBasket
2024-06-13,BigBasket groceries,394.04,food,BigBasket
2024-06-14,McDonald's Big Mac,600.14,food,McDonald's
2024-06-15,Airtel broadband,2105.82,bills,Airtel
2024-06-16,Shell petrol Whitefield,224.55,transport,Shell
2024-06-17,Flipkart tshirt sale,810.07,shopping,Flipkart
2024-06-18,Jio mobile recharge,1093.05,bills,Jio
2024-06-19,PVR Gold movie ticket,111.51,entertainment,PVR
2024-06-20,BMTC bus pass monthly,269.04,transport,BMTC
2024-06-21,BWSSB water charges,2042.96,bills,BWSSB
2024-06-22,Amazon laptop accessories,1106.36,shopping,Amazon
2024-06-23,Auto rickshaw Marathahalli,295.34,transport,Auto
2024-06-24,BigBasket groceries,233.03,food,BigBasket
2024-06-25,Tea stall chai,377.84,food,Tea
2024-06-26,Shell petrol Whitefield,210.78,transport,Shell
2024-06-27,PVR Gold movie ticket,795.42,entertainment,PVR
2024-06-28,BESCOM electricity bill,1646.58,bills,BESCOM
2024-06-29,Swiggy order biryani,247.71,food,Swiggy
2024-06-30,Amazon laptop accessories,857.31,shopping,Amazon
2024-07-01,BigBasket groceries,621.78,food,BigBasket
2024-07-02,Netflix subscription,983.24,entertainment,Netflix
2024-07-03,Coursera ML certificate,1056.5,technology,Coursera
2024-07-04,Ola cab airport drop,289.28,transport,Ola
2024-07-05,Swiggy order biryani,354.42,food,Swiggy
2024-07-06,PVR Gold movie ticket,393.55,entertainment,PVR
2024-07-07,Auto rickshaw Marathahalli,290.87,transport,Auto
2024-07-08,Uber to office Koramangala,173.95,transport,Uber
2024-07-09,McDonald's Big Mac,205.02,food,McDonald's
2024-07-10,Zomato pizza delivery,233.71,food,Zomato
2024-07-11,BigBasket groceries,356.71,food,BigBasket
2024-07-12,BESCOM electricity bill,839.29,bills,BESCOM
2024-07-13,Zomato pizza delivery,446.66,food,Zomato
2024-07-14,Reliance Trends shirt,857.24,shopping,Reliance
2024-07-15,BWSSB water charges,1981.0,bills,BWSSB
2024-07-16,Local restaurant lunch,250.21,food,Local
2024-07-17,PVR Gold movie ticket,821.24,entertainment,PVR
2024-07-18,BigBasket monthly grocery,1209.31,shopping,BigBasket
2024-07-19,Auto rickshaw Marathahalli,335.02,transport,Auto
2024-07-20,Myntra shoes delivery,1388.09,shopping,Myntra
2024-07-21,BigBasket monthly grocery,1252.73,shopping,BigBasket
2024-07-22,Google Play Pro apps,1570.94,technology,Google
2024-07-23,Uber to office Koramangala,217.75,transport,Uber
2024-07-24,Swiggy order biryani,578.8,food,Swiggy
2024-07-25,Amazon laptop accessories,1096.2,shopping,Amazon
2024-07-26,Zomato pizza delivery,347.17,food,Zomato
2024-07-27,Swiggy order biryani,377.22,food,Swiggy
2024-07-28,BESCOM electricity bill,2677.94,bills,BESCOM
2024-07-29,BWSSB water charges,2480.84,bills,BWSSB
2024-07-30,BMTC bus pass monthly,392.35,transport,BMTC
2024-07-31,BigBasket monthly grocery,721.66,shopping,BigBasket
2024-08-01,Coursera ML certificate,728.92,technology,Coursera
2024-08-02,Starbucks coffee,142.67,food,Starbucks
2024-08-03,Uber to office Koramangala,349.41,transport,Uber
2024-08-04,Local restaurant lunch,365.74,food,Local
2024-08-05,Local restaurant lunch,407.71,food,Local
2024-08-06,PVR Gold movie ticket,624.94,entertainment,PVR
2024-08-07,Metro Namma Bengaluru,368.08,transport,Metro
2024-08-08,Google Play Pro apps,1527.23,technology,Google
2024-08-09,Jio mobile recharge,1991.93,bills,Jio
2024-08-10,BigBasket groceries,422.11,food,BigBasket
2024-08-11,Swiggy order biryani,411.51,food,Swiggy
2024-08-12,Spotify Premium,735.91,entertainment,Spotify
2024-08-13,BigBasket monthly grocery,973.54,shopping,BigBasket
2024-08-14,Uber to office Koramangala,279.84,transport,Uber
2024-08-15,Shell petrol Whitefield,333.08,transport,Shell
2024-08-16,BMTC bus pass monthly,392.01,transport,BMTC
2024-08-17,BMTC bus pass monthly,231.23,transport,BMTC
2024-08-18,BMTC bus pass monthly,45.8,transport,BMTC
2024-08-19,Swiggy order biryani,183.34,food,Swiggy
2024-08-20,BWSSB water charges,1884.66,bills,BWSSB
2024-08-21,Metro Namma Bengaluru,400.07,transport,Metro
2024-08-22,Shell petrol Whitefield,272.47,transport,Shell
2024-08-23,Netflix subscription,496.96,entertainment,Netflix
2024-08-24,Google Play Pro apps,1267.95,technology,Google
2024-08-25,BigBasket monthly grocery,1430.62,shopping,BigBasket
2024-08-26,Nandhana Palace dinner,360.33,food,Nandhana
2024-08-27,Coursera ML certificate,1133.81,technology,Coursera
2024-08-28,Reliance Trends shirt,633.47,shopping,Reliance
2024-08-29,BESCOM electricity bill,2142.81,bills,BESCOM
2024-08-30,Airtel broadband,2781.43,bills,Airtel
2024-08-31,Amazon laptop accessories,298.91,shopping,Amazon
2024-09-01,Nandhana Palace dinner,384.22,food,Nandhana
2024-09-02,Swiggy order biryani,379.78,food,Swiggy
2024-09-03,Local restaurant lunch,315.93,food,Local
2024-09-04,Uber to office Koramangala,265.97,transport,Uber
2024-09-05,BMTC bus pass monthly,361.83,transport,BMTC
2024-09-06,Netflix subscription,681.26,entertainment,Netflix
2024-09-07,Flipkart tshirt sale,1395.66,shopping,Flipkart
2024-09-08,BigBasket monthly grocery,989.57,shopping,BigBasket
2024-09-09,Metro Namma Bengaluru,359.25,transport,Metro
2024-09-10,Jio mobile recharge,1847.49,bills,Jio
2024-09-11,Swiggy order biryani,226.55,food,Swiggy
2024-09-12,Nandhana Palace dinner,355.02,food,Nandhana
2024-09-13,BESCOM electricity bill,1943.23,bills,BESCOM
2024-09-14,Myntra shoes delivery,843.9,shopping,Myntra
2024-09-15,Reliance Trends shirt,1209.43,shopping,Reliance
2024-09-16,Google Play Pro apps,1952.61,technology,Google
2024-09-17,Metro Namma Bengaluru,240.3,transport,Metro
2024-09-18,Metro Namma Bengaluru,282.38,transport,Metro
2024-09-19,Local restaurant lunch,315.05,food,Local
2024-09-20,Udemy data science course,1312.08,technology,Udemy
2024-09-21,Zomato pizza delivery,243.17,food,Zomato
2024-09-22,McDonald's Big Mac,353.79,food,McDonald's
2024-09-23,Spotify Premium,598.07,entertainment,Spotify
2024-09-24,Metro Namma Bengaluru,302.36,transport,Metro
2024-09-25,Zomato pizza delivery,334.32,food,Zomato
2024-09-26,Uber to office Koramangala,446.89,transport,Uber
2024-09-27,Metro Namma Bengaluru,183.58,transport,Metro
2024-09-28,Auto rickshaw Marathahalli,144.56,transport,Auto
2024-09-29,Myntra shoes delivery,977.34,shopping,Myntra
2024-09-30,Nandhana Palace dinner,434.1,food,Nandhana
2024-10-01,Uber to office Koramangala,275.64,transport,Uber
2024-10-02,Jio mobile recharge,1728.26,bills,Jio
2024-10-03,Google Play Pro apps,1873.72,technology,Google
2024-10-04,Shell petrol Whitefield,136.53,transport,Shell
2024-10-05,BESCOM electricity bill,706.43,bills,BESCOM
2024-10-06,Reliance Trends shirt,605.73,shopping,Reliance
2024-10-07,Google Play Pro apps,1485.02,technology,Google
2024-10-08,Google Play Pro apps,1430.12,technology,Google
2024-10-09,Udemy data science course,1333.75,technology,Udemy
2024-10-10,Auto rickshaw Marathahalli,266.68,transport,Auto
2024-10-11,BigBasket monthly grocery,1521.07,shopping,BigBasket
2024-10-12,Amazon laptop accessories,1256.32,shopping,Amazon
2024-10-13,Amazon laptop accessories,1186.69,shopping,Amazon
2024-10-14,Nandhana Palace dinner,248.94,food,Nandhana
2024-10-15,Shell petrol Whitefield,209.29,transport,Shell
2024-10-16,BESCOM electricity bill,2220.56,bills,BESCOM
2024-10-17,Google Play Pro apps,1960.69,technology,Google
2024-10-18,Jio mobile recharge,2394.41,bills,Jio
2024-10-19,Coursera ML certificate,1621.18,technology,Coursera
2024-10-20,Domino's pasta,487.09,food,Domino's
2024-10-21,Myntra shoes delivery,1179.14,shopping,Myntra
2024-10-22,Auto rickshaw Marathahalli,295.05,transport,Auto
2024-10-23,Uber to office Koramangala,347.7,transport,Uber
2024-10-24,Starbucks coffee,450.05,food,Starbucks
2024-10-25,BESCOM electricity bill,1576.82,bills,BESCOM
2024-10-26,Google Play Pro apps,880.43,technology,Google
2024-10-27,Myntra shoes delivery,802.04,shopping,Myntra
2024-10-28,McDonald's Big Mac,297.48,food,McDonald's
2024-10-29,BESCOM electricity bill,1277.08,bills,BESCOM
2024-10-30,Udemy data science course,1414.44,technology,Udemy
2024-10-31,Domino's pasta,454.59,food,Domino's
2024-11-01,BMTC bus pass monthly,414.57,transport,BMTC
2024-11-02,BESCOM electricity bill,1722.12,bills,BESCOM
2024-11-03,Airtel broadband,1733.77,bills,Airtel
2024-11-04,BESCOM electricity bill,1245.7,bills,BESCOM
2024-11-05,PVR Gold movie ticket,542.29,entertainment,PVR
2024-11-06,BMTC bus pass monthly,180.03,transport,BMTC
2024-11-07,Nandhana Palace dinner,180.75,food,Nandhana
2024-11-08,Udemy data science course,1598.78,technology,Udemy
2024-11-09,BESCOM electricity bill,1294.74,bills,BESCOM
2024-11-10,Domino's pasta,458.04,food,Domino's
2024-11-11,Ola cab airport drop,236.67,transport,Ola
2024-11-12,BWSSB water charges,2275.97,bills,BWSSB
2024-11-13,Spotify Premium,823.05,entertainment,Spotify
2024-11-14,Myntra shoes delivery,775.34,shopping,Myntra
2024-11-15,Uber to office Koramangala,419.63,transport,Uber
2024-11-16,Auto rickshaw Marathahalli,189.49,transport,Auto
2024-11-17,Hotstar IPL match,540.54,entertainment,Hotstar
2024-11-18,Google Play Pro apps,1503.56,technology,Google
2024-11-19,McDonald's Big Mac,385.95,food,McDonald's
2024-11-20,Tea stall chai,427.41,food,Tea
2024-11-21,Auto rickshaw Marathahalli,256.41,transport,Auto
2024-11-22,Auto rickshaw Marathahalli,321.12,transport,Auto
2024-11-23,BMTC bus pass monthly,372.35,transport,BMTC
2024-11-24,Shell petrol Whitefield,461.05,transport,Shell
2024-11-25,BWSSB water charges,1815.09,bills,BWSSB
2024-11-26,Local restaurant lunch,357.85,food,Local
2024-11-27,Flipkart tshirt sale,1364.91,shopping,Flipkart
2024-11-28,Uber to office Koramangala,162.46,transport,Uber
2024-11-29,Starbucks coffee,461.06,food,Starbucks
2024-11-30,Coursera ML certificate,1172.51,technology,Coursera
2024-12-01,Swiggy order biryani,259.6,food,Swiggy
2024-12-02,Metro Namma Bengaluru,165.76,transport,Metro
2024-12-03,Flipkart tshirt sale,1170.59,shopping,Flipkart
2024-12-04,Uber to office Koramangala,293.28,transport,Uber
2024-12-05,Flipkart tshirt sale,1292.06,shopping,Flipkart
2024-12-06,Amazon laptop accessories,937.35,shopping,Amazon
2024-12-07,Shell petrol Whitefield,270.46,transport,Shell
2024-12-08,Hotstar IPL match,392.62,entertainment,Hotstar
2024-12-09,Zomato pizza delivery,482.98,food,Zomato
2024-12-10,Local restaurant lunch,222.15,food,Local
2024-12-11,Myntra shoes delivery,806.14,shopping,Myntra
2024-12-12,Myntra shoes delivery,546.58,shopping,Myntra
2024-12-13,Metro Namma Bengaluru,416.89,transport,Metro
2024-12-14,Flipkart tshirt sale,923.03,shopping,Flipkart
2024-12-15,Udemy data science course,941.63,technology,Udemy
2024-12-16,Domino's pasta,375.15,food,Domino's
2024-12-17,Local restaurant lunch,344.7,food,Local
2024-12-18,Jio mobile recharge,1205.62,bills,Jio
2024-12-19,Uber to office Koramangala,305.32,transport,Uber
2024-12-20,Local restaurant lunch,398.4,food,Local
2024-12-21,Zomato pizza delivery,264.56,food,Zomato
2024-12-22,McDonald's Big Mac,331.49,food,McDonald's
2024-12-23,BWSSB water charges,497.62,bills,BWSSB
2024-12-24,Zomato pizza delivery,325.91,food,Zomato
2024-12-25,Google Play Pro apps,1038.12,technology,Google
2024-12-26,Domino's pasta,257.42,food,Domino's
2024-12-27,Coursera ML certificate,1503.1,technology,Coursera
2024-12-28,Nandhana Palace dinner,409.15,food,Nandhana
2024-12-29,Swiggy order biryani,246.71,food,Swiggy
2024-12-30,Coursera ML certificate,2195.98,technology,Coursera
2024-12-31,McDonald's Big Mac,344.37,food,McDonald's
2025-01-01,Starbucks coffee,429.89,food,Starbucks
2025-01-02,Amazon laptop accessories,907.16,shopping,Amazon
2025-01-03,Starbucks coffee,474.71,food,Starbucks
2025-01-04,Airtel broadband,2754.38,bills,Airtel
2025-01-05,Metro Namma Bengaluru,308.88,transport,Metro
2025-01-06,Amazon laptop accessories,1114.4,shopping,Amazon
2025-01-07,Reliance Trends shirt,898.82,shopping,Reliance
2025-01-08,Shell petrol Whitefield,266.27,transport,Shell
2025-01-09,Netflix subscription,1024.92,entertainment,Netflix
2025-01-10,Domino's pasta,354.55,food,Domino's
2025-01-11,Uber to office Koramangala,374.39,transport,Uber
2025-01-12,Domino's pasta,222.25,food,Domino's
2025-01-13,Local restaurant lunch,249.58,food,Local
2025-01-14,BMTC bus pass monthly,263.44,transport,BMTC
2025-01-15,McDonald's Big Mac,146.07,food,McDonald's
2025-01-16,Jio mobile recharge,2566.11,bills,Jio
2025-01-17,Auto rickshaw Marathahalli,312.69,transport,Auto
2025-01-18,BESCOM electricity bill,2244.7,bills,BESCOM
2025-01-19,Auto rickshaw Marathahalli,293.19,transport,Auto
2025-01-20,Jio mobile recharge,2014.57,bills,Jio
2025-01-21,Amazon laptop accessories,855.13,shopping,Amazon
2025-01-22,PVR Gold movie ticket,710.09,entertainment,PVR
2025-01-23,Jio mobile recharge,1259.5,bills,Jio
2025-01-24,Flipkart tshirt sale,763.11,shopping,Flipkart
2025-01-25,Local restaurant lunch,308.26,food,Local
2025-01-26,Swiggy order biryani,349.46,food,Swiggy
2025-01-27,Uber to office Koramangala,255.88,transport,Uber
2025-01-28,Shell petrol Whitefield,311.09,transport,Shell
2025-01-29,Myntra shoes delivery,721.55,shopping,Myntra
2025-01-30,Tea stall chai,296.13,food,Tea
2025-01-31,BigBasket groceries,464.12,food,BigBasket
2025-02-01,Hotstar IPL match,451.95,entertainment,Hotstar
2025-02-02,Metro Namma Bengaluru,315.84,transport,Metro
2025-02-03,BMTC bus pass monthly,220.5,transport,BMTC
2025-02-04,BigBasket groceries,180.66,food,BigBasket
2025-02-05,Starbucks coffee,315.27,food,Starbucks
2025-02-06,Myntra shoes delivery,1165.89,shopping,Myntra
2025-02-07,Zomato pizza delivery,251.63,food,Zomato
2025-02-08,BMTC bus pass monthly,264.49,transport,BMTC
2025-02-09,Jio mobile recharge,592.47,bills,Jio
2025-02-10,Tea stall chai,226.3,food,Tea
2025-02-11,Reliance Trends shirt,1150.07,shopping,Reliance
2025-02-12,PVR Gold movie ticket,892.15,entertainment,PVR
2025-02-13,Spotify Premium,468.01,entertainment,Spotify
2025-02-14,BMTC bus pass monthly,214.84,transport,BMTC
2025-02-15,Hotstar IPL match,879.72,entertainment,Hotstar
2025-02-16,Uber to office Koramangala,223.5,transport,Uber
2025-02-17,Amazon laptop accessories,913.08,shopping,Amazon
2025-02-18,Local restaurant lunch,469.86,food,Local
2025-02-19,Flipkart tshirt sale,833.86,shopping,Flipkart
2025-02-20,Starbucks coffee,340.57,food,Starbucks
2025-02-21,Ola cab airport drop,398.99,transport,Ola
2025-02-22,Auto rickshaw Marathahalli,460.69,transport,Auto
2025-02-23,BigBasket groceries,326.4,food,BigBasket
2025-02-24,Airtel broadband,1137.7,bills,Airtel
2025-02-25,Nandhana Palace dinner,256.76,food,Nandhana
2025-02-26,Zomato pizza delivery,358.56,food,Zomato
2025-02-27,Reliance Trends shirt,936.03,shopping,Reliance
2025-02-28,Myntra shoes delivery,1060.3,shopping,Myntra
2025-03-01,Google Play Pro apps,1322.35,technology,Google
2025-03-02,Local restaurant lunch,434.07,food,Local
2025-03-03,Reliance Trends shirt,441.28,shopping,Reliance
2025-03-04,Jio mobile recharge,2479.02,bills,Jio
2025-03-05,Reliance Trends shirt,845.3,shopping,Reliance
2025-03-06,Domino's pasta,257.3,food,Domino's
2025-03-07,Hotstar IPL match,442.35,entertainment,Hotstar
2025-03-08,Swiggy order biryani,286.13,food,Swiggy
2025-03-09,Uber to office Koramangala,235.82,transport,Uber
2025-03-10,Netflix subscription,644.54,entertainment,Netflix
2025-03-11,Myntra shoes delivery,590.37,shopping,Myntra
2025-03-12,Ola cab airport drop,332.53,transport,Ola
2025-03-13,Nandhana Palace dinner,447.35,food,Nandhana
2025-03-14,Netflix subscription,1070.84,entertainment,Netflix
2025-03-15,Nandhana Palace dinner,261.71,food,Nandhana
2025-03-16,Jio mobile recharge,2084.94,bills,Jio
2025-03-17,Local restaurant lunch,333.59,food,Local
2025-03-18,Amazon laptop accessories,985.4,shopping,Amazon
2025-03-19,Jio mobile recharge,2438.46,bills,Jio
2025-03-20,Netflix subscription,660.95,entertainment,Netflix
2025-03-21,Airtel broadband,1625.65,bills,Airtel
2025-03-22,Starbucks coffee,463.89,food,Starbucks
2025-03-23,Nandhana Palace dinner,475.07,food,Nandhana
2025-03-24,Shell petrol Whitefield,217.72,transport,Shell
2025-03-25,Jio mobile recharge,1221.88,bills,Jio
2025-03-26,Netflix subscription,955.85,entertainment,Netflix
2025-03-27,BigBasket monthly grocery,618.56,shopping,BigBasket
2025-03-28,Local restaurant lunch,420.63,food,Local
2025-03-29,Coursera ML certificate,1181.97,technology,Coursera
2025-03-30,Flipkart tshirt sale,546.23,shopping,Flipkart
2025-03-31,Auto rickshaw Marathahalli,306.3,transport,Auto
2025-04-01,Google Play Pro apps,1010.42,technology,Google
2025-04-02,Tea stall chai,308.89,food,Tea
2025-04-03,Flipkart tshirt sale,1071.12,shopping,Flipkart
2025-04-04,McDonald's Big Mac,367.45,food,McDonald's
2025-04-05,PVR Gold movie ticket,712.46,entertainment,PVR
2025-04-06,Amazon laptop accessories,747.89,shopping,Amazon
2025-04-07,Udemy data science course,1356.31,technology,Udemy
2025-04-08,Tea stall chai,442.46,food,Tea
2025-04-09,Starbucks coffee,337.83,food,Starbucks
2025-04-10,Jio mobile recharge,2351.66,bills,Jio
2025-04-11,Spotify Premium,963.38,entertainment,Spotify
